Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
1369,Ansi/Can/Ul/Ulc Aboveground Piping for Flammable And Combustible Liquids / Norme Sur La Tuyauterie Hors Sol Pour Les Liquides Inflammables Et Combustibles,Ed. 1,ULC,"August 31, 2018",canulc,True,,Ansi/Can/Ul/Ulc Aboveground Piping for Flammable And Combustible Liquids / Norme Sur La Tuyauterie Hors Sol Pour Les Liquides Inflammables Et Combustibles,Tuyauterie Hors Sol Pour Les,Hors Sol Pour Les Liquides,Sol Pour Les Liquides Inflammables,Ulc Aboveground Piping for Flammable,Norme Sur La Tuyauterie Hors
1370,Unvented Alcohol Fuel Burning Decorative Appliances,Ed. 1,UL,"July 18, 2011",ulstd,True,,Unvented Alcohol Fuel Burning Decorative Appliances,Alcohol Fuel Burning Decorative Appliances,Unvented Alcohol Fuel Burning Decorative,Fuel Burning Decorative Appliances,Alcohol Fuel Burning Decorative,Unvented Alcohol Fuel Burning
1373,Factory-Built Water Heating Gasification Appliances,Ed. 1,ULC,"March 01, 2020",,True,,Factory-Built Water Heating Gasification Appliances,Factory-Built Water Heating Gasification Appliances,Water Heating Gasification Appliances,Factory-Built Water Heating Gasification,Heating Gasification Appliances,Water Heating Gasification
1374,Outline of Investigation for Fire Tests of Balcony Assemblies,Ed. 1,UL,"March 28, 2019",outline,True,Outline of Investigation for Fire Test,Balcony Assemblies,Balcony Assemblies,Assemblies,Balcony,,
1376,"Methodology for Marketing Claim Verification: Security Capabilities Verified To Level Bronze/Silver/Gold/Platinum/Diamond, Ul Mcv 1376",Ed. 2,UL,"September 23, 2021",,True,Method,"Marketing Claim Verification: Security Capabilities Verified To Level Bronze/Silver/Gold/Platinum/Diamond, Ul Mcv 1376",Security Capabilities Verified To Level,Capabilities Verified To Level Bronze,Security Capabilities Verified,Verified To Level Bronze,Marketing Claim Verification
1378,Gas-Fired Combined Heat And Power Appliances (Mchp),Ed. 1,ULC,"September 18, 2020",,True,,Gas-Fired Combined Heat And Power Appliances (Mchp),Combined Heat And Power Appliances,Gas-Fired Combined Heat And Power,Heat And Power Appliances,Combined Heat And Power,Gas-Fired Combined Heat
1378,Sustainability Outline for Portable Rechargeable Batteries And Portable Chargers,Ed. 1,UL Environment,"May 25, 2021",outline,True,Sustainability Outline,Portable Rechargeable Batteries And Portable Chargers,Rechargeable Batteries And Portable Chargers,Portable Rechargeable Batteries And Portable,Portable Rechargeable Batteries,Batteries And Portable Chargers,Rechargeable Batteries And Portable
1381,Outline of Investigation for Aerosol Duct Sprayed Sealant,Ed. 1,UL,"August 27, 2013",outline,True,Outline,Investigation for Aerosol Duct Sprayed Sealant,Aerosol Duct Sprayed Sealant,Investigation for Aerosol Duct Sprayed,Duct Sprayed Sealant,Aerosol Duct Sprayed,Investigation for Aerosol Duct
1382,Outline of Investigation for Sheet Metal Air Ducts With Sealed Joints,Ed. 1,UL,"April 25, 2016",outline,True,Outline,Investigation for Sheet Metal Air Ducts With Sealed Joints,Air Ducts With Sealed Joints,Sheet Metal Air Ducts,Metal Air Ducts With Sealed,Investigation for Sheet Metal Air,Ducts With Sealed Joints
1383,Outline of Investigation for Tubular Cable Support Systems,Ed. 1,UL,"April 19, 2022",outline,True,Outline,Investigation for Tubular Cable Support Systems,Tubular Cable Support Systems,Investigation for Tubular Cable Support,Cable Support Systems,Tubular Cable Support,Investigation for Tubular Cable
1384,Water-Based Automatic Extinguisher Units / Unités De Système D'Extinction Automatique À Base Eau,Ed. 1,UL,"May 09, 2017",ulcanada,False,,Water-Based Automatic Extinguisher Units,Water-Based Automatic Extinguisher Units,Automatic Extinguisher Units,Water-Based Automatic Extinguisher,Extinguisher Units,Automatic Extinguisher
1384,Water-Based Automatic Extinguisher Units / Unités De Système D'Extinction Automatique À Base Eau,Ed. 1,ULC,"May 09, 2017",ulc,False,,Water-Based Automatic Extinguisher Units,Water-Based Automatic Extinguisher Units,Automatic Extinguisher Units,Water-Based Automatic Extinguisher,Extinguisher Units,Automatic Extinguisher
1385,Outline of Investigation for Cryogenic Submersible Pump Cable,Ed. 3,UL,"January 23, 2020",,True,Outline,Investigation for Cryogenic Submersible Pump Cable,Cryogenic Submersible Pump Cable,Investigation for Cryogenic Submersible Pump,Submersible Pump Cable,Cryogenic Submersible Pump,Investigation for Cryogenic Submersible
1385,Outline of Investigation for Cryogenic Submersible Pump Cable,Ed. 4,UL,"March 23, 2023",outline,True,Outline,Investigation for Cryogenic Submersible Pump Cable,Cryogenic Submersible Pump Cable,Investigation for Cryogenic Submersible Pump,Submersible Pump Cable,Cryogenic Submersible Pump,Investigation for Cryogenic Submersible
1386,Outline of Investigation for Flexible Bus Systems,Ed. 1,UL,"August 30, 2022",outline,True,Outline,Investigation for Flexible Bus Systems,Investigation for Flexible Bus Systems,Flexible Bus Systems,Investigation for Flexible Bus,Bus Systems,Flexible Bus
1387,Outline of Investigation for Flexible Insulated Bus,Ed. 1,UL,"August 09, 2022",outline,True,Outline,Investigation for Flexible Insulated Bus,Investigation for Flexible Insulated Bus,Flexible Insulated Bus,Investigation for Flexible Insulated,Insulated Bus,Flexible Insulated
1389,Plant Oil Extraction Equipment for Installation And Use In Ordinary (Unclassified) Locations And Hazardous (Classified) Locations / Equipement D'Extraction D'Huile Végétale Destiné À Être Installé Et Utilisé Dans Des Lieux (Non Classés) Ordinaires Et Des Lieux (Classés) Dangereux,Ed. 1,UL,"November 25, 2019",ululcanada,False,,Plant Oil Extraction Equipment for Installation And Use In Ordinary (Unclassified) Locations And Hazardous (Classified) Locations,Oil Extraction Equipment for Installation,Plant Oil Extraction Equipment,Oil Extraction Equipment,Plant Oil Extraction,Oil Extraction
1389,Plant Oil Extraction Equipment for Installation And Use In Ordinary (Unclassified) Locations And Hazardous (Classified) Locations / Equipement D'Extraction D'Huile Végétale Destiné À Être Installé Et Utilisé Dans Des Lieux (Non Classés) Ordinaires Et Des Lieux (Classés) Dangereux,Ed. 1,ULC,"November 25, 2019",ululcanada,False,,Plant Oil Extraction Equipment for Installation And Use In Ordinary (Unclassified) Locations And Hazardous (Classified) Locations,Oil Extraction Equipment for Installation,Plant Oil Extraction Equipment,Oil Extraction Equipment,Plant Oil Extraction,Oil Extraction
1390,Fireplace Inserts And Hearth-Mounted Stoves for Installation Into Masonry Fireplaces,Ed. 1,UL,"September 21, 2022",csdsproposal,True,,Fireplace Inserts And Hearth-Mounted Stoves for Installation Into Masonry Fireplaces,Fireplace Inserts And Hearth-Mounted Stoves,Stoves for Installation Into Masonry,Installation Into Masonry Fireplaces,Inserts And Hearth-Mounted Stoves,Hearth-Mounted Stoves for Installation
1391,Solid-Fuel Space Heaters for Installation Into Factory-Built Fireplaces,Ed. 1,UL,"February 24, 2023",csdsproposal,True,,Solid-Fuel Space Heaters for Installation Into Factory-Built Fireplaces,Solid-Fuel Space Heaters for Installation,Space Heaters for Installation,Solid-Fuel Space Heaters,Installation Into Factory-Built Fireplaces,Heaters for Installation Into Factory-Built
1393,Environmental Claim Validation Procedure (Ecvp) for Marine Biodegradability,Ed. 1,UL Environment,"December 02, 2021",ule,True,Environmental Claim Validation Procedure,Marine Biodegradability,Marine Biodegradability,Biodegradability,Marine,,
1395,Extraneous Transients Test Method,Ed. 1,UL,"June 17, 2022",csdsproposal,True,Method,Extraneous Transients Test Method,Extraneous Transients Test Method,Transients Test Method,Extraneous Transients Test,Test Method,Transients Test
1396,Environmental Claim Validation Procedure (Ecvp) for Rapidly Renewable Content,Ed. 1,UL Environment,"December 02, 2021",ule,True,Environmental Claim Validation Procedure,Rapidly Renewable Content,Rapidly Renewable Content,Renewable Content,Rapidly Renewable,Content,Renewable
1397,Environmental Claim Validation Procedure (Ecvp) for Net-Zero Water,Ed. 1,UL Environment,"January 27, 2022",ule,True,Environmental Claim Validation Procedure,Net-Zero Water,Net-Zero Water,Water,Net-Zero,,
1400-1,Outline of Investigation for Fault-Managed Power Systems - Part 1: Safety Requirements,Ed. 1,UL,"December 19, 2022",outline,True,Outline,Investigation for Fault-Managed Power Systems - Part 1: Safety Requirements,Investigation for Fault-Managed Power Systems,Fault-Managed Power Systems,Safety Requirements,Investigation for Fault-Managed Power,Power Systems
1400-2,Outline of Investigation for Fault-Managed Power Systems,Ed. 1,UL,"January 06, 2022",outline,True,Outline,Investigation for Fault-Managed Power Systems,Investigation for Fault-Managed Power Systems,Fault-Managed Power Systems,Investigation for Fault-Managed Power,Power Systems,Fault-Managed Power
1411,"Standard for Transformers And Motor Transformers for Use In Audio-, Radio-, And Television-Type Appliances",Ed. 7,UL,"January 15, 2016",ulstd,True,Standard,"Transformers And Motor Transformers for Use In Audio-, Radio-, And Television-Type Appliances",Transformers And Motor Transformers,Television-Type Appliances,Motor Transformers,Transformers for Use In Audio,Radio
1412,Standard for Fusing Resistors And Temperature-Limited Resistors for Radio- And Television- Type Appliances,Ed. 5,UL,"August 30, 1999",ulstd,True,Standard,Fusing Resistors And Temperature-Limited Resistors for Radio- And Television- Type Appliances,Fusing Resistors And Temperature-Limited Resistors,Temperature-Limited Resistors for Radio,Type Appliances,Fusing Resistors And Temperature-Limited,Resistors And Temperature-Limited Resistors
1413,Standard for High-Voltage Components for Television-Type Appliances,Ed. 6,UL,"December 16, 1999",ulstd,True,Standard,High-Voltage Components for Television-Type Appliances,High-Voltage Components for Television-Type Appliances,Components for Television-Type Appliances,High-Voltage Components for Television-Type,High-Voltage Components,Television-Type Appliances
1416,Standard for Overcurrent And Overtemperature Protectors for Radio- And Television- Type Appliances,Ed. 6,UL,"October 29, 1999",ulstd,True,Standard,Overcurrent And Overtemperature Protectors for Radio- And Television- Type Appliances,Overtemperature Protectors for Radio,Overcurrent And Overtemperature Protectors,Type Appliances,Protectors for Radio,Overtemperature Protectors
1417,Standard for Special Fuses for Radio- And Television- Type Appliances,Ed. 6,UL,"October 18, 1999",ulstd,True,Standard,Special Fuses for Radio- And Television- Type Appliances,Special Fuses for Radio,Type Appliances,Fuses for Radio,Special Fuses,Radio
1419,Standard for Professional Video And Audio Equipment,Ed. 4,UL,"February 26, 2016",ulstd,True,Standard,Professional Video And Audio Equipment,Professional Video And Audio Equipment,Video And Audio Equipment,Professional Video And Audio,Audio Equipment,Video And Audio
1424,Standard for Cables for Power-Limited Fire-Alarm Circuits,Ed. 4,UL,"January 22, 2015",ulstd,True,Standard,Cables for Power-Limited Fire-Alarm Circuits,Cables for Power-Limited Fire-Alarm Circuits,Power-Limited Fire-Alarm Circuits,Cables for Power-Limited Fire-Alarm,Fire-Alarm Circuits,Cables for Power-Limited
1425,Standard for Cables for Non-Power-Limited Fire-Alarm Circuits,Ed. 4,UL,"December 05, 2014",,True,Standard,Cables for Non-Power-Limited Fire-Alarm Circuits,Fire-Alarm Circuits,Circuits,Cables,Fire-Alarm,
1425,Standard for Cables for Non-Power-Limited Fire-Alarm Circuits,Ed. 3,UL,"January 26, 2015",ulstd,True,Standard,Cables for Non-Power-Limited Fire-Alarm Circuits,Fire-Alarm Circuits,Circuits,Cables,Fire-Alarm,
1426,Electrical Cables for Boats,Ed. 5,UL,"December 06, 2010",ulstd,True,,Electrical Cables for Boats,Electrical Cables for Boats,Cables for Boats,Electrical Cables,Boats,Cables
1429,Standard for Pullout Switches,Ed. 4,UL,"April 18, 2000",ulstd,True,Standard,Pullout Switches,Pullout Switches,Switches,Pullout,,
1431,Standard for Personal Hygiene And Health Care Appliances,Ed. 3,UL,"March 23, 2011",ulstd,True,Standard,Personal Hygiene And Health Care Appliances,Hygiene And Health Care Appliances,Personal Hygiene And Health Care,Health Care Appliances,Hygiene And Health Care,Personal Hygiene And Health
1434,Standard for Thermistor-Type Devices,Ed. 1,UL,"April 03, 1998",ulstd,True,Standard,Thermistor-Type Devices,Thermistor-Type Devices,Devices,Thermistor-Type,,
1434A,Outline of Investigation for Thermistor-Type Devices for Use In Electric Vehicles,Ed. 1,UL,"March 28, 2022",outline,True,Outline,Investigation for Thermistor-Type Devices for Use In Electric Vehicles,Investigation for Thermistor-Type Devices,Electric Vehicles,Thermistor-Type Devices,Investigation for Thermistor-Type,Devices for Use In Electric
1436,Standard for Outlet Circuit Testers And Similar Indicating Devices,Ed. 6,UL,"September 06, 2016",ulstd,True,Standard Test,Standard for Outlet Circuit Testers And Similar Indicating Devices,Testers And Similar Indicating Devices,Outlet Circuit Testers And Similar,Circuit Testers And Similar Indicating,Standard for Outlet Circuit Testers,Similar Indicating Devices
1437,Standard for Electrical Analog Instruments - Panel Board Types,Ed. 4,UL,"December 12, 2006",ulstd,True,Standard,Electrical Analog Instruments - Panel Board Types,Panel Board Types,Electrical Analog Instruments,Analog Instruments,Panel Board,Board Types
1439,Standard for Tests for Sharpness of Edges On Equipment,Ed. 5,UL,"April 21, 2015",ulstd,True,Standard for Test,Sharpness of Edges On Equipment,Sharpness of Edges On Equipment,Edges On Equipment,Sharpness of Edges,Equipment,Edges
1441,Coated Electrical Sleeving,Ed. 5,UL,"June 21, 2021",ulcsa,True,,Coated Electrical Sleeving,Coated Electrical Sleeving,Electrical Sleeving,Coated Electrical,Sleeving,Electrical
1446,Systems of Insulating Materials - General / Systèmes De Matériaux D'Isolation - Généralités,Ed. 8,UL,"November 13, 2019",ulstd,False,,Systems of Insulating Materials - General,Systems of Insulating Materials,Insulating Materials,Systems of Insulating,General,Materials
1446A,Outline of Investigation for Dry Type Transformer Insulation Systems Rated Above 600V,Ed. 3,UL,"June 18, 2019",outline,True,Outline,Investigation for Dry Type Transformer Insulation Systems Rated Above 600V,Dry Type Transformer Insulation Systems,Type Transformer Insulation Systems Rated,Dry Type Transformer Insulation,Type Transformer Insulation Systems,Transformer Insulation Systems Rated
1447,Standard for Electric Lawn Mowers,Ed. 6,UL,"October 13, 2017",ulstd,True,Standard,Electric Lawn Mowers,Electric Lawn Mowers,Lawn Mowers,Electric Lawn,Mowers,Lawn
1449,Surge Protective Devices,Ed. 5,UL,"January 08, 2021",ulstd,True,,Surge Protective Devices,Surge Protective Devices,Protective Devices,Surge Protective,Devices,Protective
1449A,Outline of Investigation for Electric Vehicle (Ev) Surge Protective Devices,Ed. 2,UL,"December 06, 2019",,True,Outline,Investigation for Electric Vehicle (Ev) Surge Protective Devices,Surge Protective Devices,Investigation for Electric Vehicle,Electric Vehicle,Surge Protective,Protective Devices
1450,"Standard for Motor-Operated Air Compressors, Vacuum Pumps, And Painting Equipment",Ed. 4,UL,"May 05, 2010",ulstd,True,Standard,"Motor-Operated Air Compressors, Vacuum Pumps, And Painting Equipment",Motor-Operated Air Compressors,Vacuum Pumps,Air Compressors,Painting Equipment,Motor-Operated Air
1453,Standard for Electric Booster And Commercial Storage Tank Water Heaters,Ed. 6,UL,"March 29, 2016",ulstd,True,Standard,Electric Booster And Commercial Storage Tank Water Heaters,Commercial Storage Tank Water Heaters,Storage Tank Water Heaters,Booster And Commercial Storage Tank,Commercial Storage Tank Water,Electric Booster And Commercial Storage
1462,Mobile Home Pipe Heating Cable,Ed. 4,UL,"June 21, 2006",outline,True,,Mobile Home Pipe Heating Cable,Mobile Home Pipe Heating Cable,Home Pipe Heating Cable,Mobile Home Pipe Heating,Pipe Heating Cable,Home Pipe Heating
1468,Standard for Direct Acting Pressure Reducing And Pressure Restricting Valves,Ed. 5,UL,"May 09, 2016",ulstd,True,Standard,Direct Acting Pressure Reducing And Pressure Restricting Valves,Direct Acting Pressure Reducing,Reducing And Pressure Restricting Valves,Pressure Reducing And Pressure Restricting,Acting Pressure Reducing And Pressure,Pressure Restricting Valves
1469,Standard for Strength of Body And Hydraulic Pressure Loss Testing of Backflow Special Check Valves,Ed. 2,UL,"December 07, 2006",ulstd,True,Standard,Strength of Body And Hydraulic Pressure Loss Testing of Backflow Special Check Valves,Backflow Special Check Valves,Body And Hydraulic Pressure Loss,Hydraulic Pressure Loss Testing,Pressure Loss Testing of Backflow,Loss Testing of Backflow Special
